Variable_Name,Category_Name,Category_Code,Subcategory_Name,Variable_Code,Units
"Children, low access to store (%), 2019",Access and Proximity to Foodstore,ACCESS,Demographics,PCT_LACCESS_CHILD19,Percent
"Seniors, low access to store, 2015",Access and Proximity to Foodstore,ACCESS,Demographics,LACCESS_SENIORS15,Count
"Seniors, low access to store, 2019",Access and Proximity to Foodstore,ACCESS,Demographics,LACCESS_SENIORS19,Count
"Seniors, low access to store (% change), 2015 -19",Access and Proximity to Foodstore,ACCESS,Demographics,PCH_LACCESS_SENIORS_15_19,% change
"Seniors, low access to store (%), 2015",Access and Proximity to Foodstore,ACCESS,Demographics,PCT_LACCESS_SENIORS15,Percent
"Seniors, low access to store (%), 2019",Access and Proximity to Foodstore,ACCESS,Demographics,PCT_LACCESS_SENIORS19,Percent
"White, low access to store, 2015",Access and Proximity to Foodstore,ACCESS,Demographics,LACCESS_WHITE15,Count
"White, low access to store, 2019",Access and Proximity to Foodstore,ACCESS,Demographics,LACCESS_WHITE19,Count
"White, low access to store (% change), 2015 -19",Access and Proximity to Foodstore,ACCESS,Demographics,PCH_LACCESS_WHITE_15_19,% change
"White, low access to store (%), 2015",Access and Proximity to Foodstore,ACCESS,Demographics,PCT_LACCESS_WHITE15,Percent
"White, low access to store (%), 2019",Access and Proximity to Foodstore,ACCESS,Demographics,PCT_LACCESS_WHITE19,Percent
"Black, low access to store, 2015",Access and Proximity to Foodstore,ACCESS,Demographics,LACCESS_BLACK15,Count
"Black, low access to store, 2019",Access and Proximity to Foodstore,ACCESS,Demographics,LACCESS_BLACK19,Count
"Black, low access to store (% change), 2015 -19",Access and Proximity to Foodstore,ACCESS,Demographics,PCH_LACCESS_BLACK_15_19,% change
"Black, low access to store (%), 2015",Access and Proximity to Foodstore,ACCESS,Demographics,PCT_LACCESS_BLACK15,Percent
"Black, low access to store (%), 2019",Access and Proximity to Foodstore,ACCESS,Demographics,PCT_LACCESS_BLACK19,Percent
"Hispanic ethnicity, low access to store, 2015",Access and Proximity to Foodstore,ACCESS,Demographics,LACCESS_HISP15,Count
"Hispanic ethnicity, low access to store, 2019",Access and Proximity to Foodstore,ACCESS,Demographics,LACCESS_HISP19,Count
"Hispanic ethnicity, low access to store (% change), 2015 -19",Access and Proximity to Foodstore,ACCESS,Demographics,PCH_LACCESS_HISP_15_19,% change
"Hispanic ethnicity, low access to store (%), 2015",Access and Proximity to Foodstore,ACCESS,Demographics,PCT_LACCESS_HISP15,Percent
"Hispanic ethnicity, low access to store (%), 2019",Access and Proximity to Foodstore,ACCESS,Demographics,PCT_LACCESS_HISP19,Percent
"Asian, low access to store, 2015",Access and Proximity to Foodstore,ACCESS,Demographics,LACCESS_ASIAN15,Count
"Asian, low access to store, 2019",Access and Proximity to Foodstore,ACCESS,Demographics,LACCESS_ASIAN19,Count
"Asain, low access to store (% change), 2015 -19",Access and Proximity to Foodstore,ACCESS,Demographics,PCH_LACCESS_ASIAN_15_19,% change
"Asian, low access to store (%), 2015",Access and Proximity to Foodstore,ACCESS,Demographics,PCT_LACCESS_ASIAN15,Percent
"Asian, low access to store (%), 2019",Access and Proximity to Foodstore,ACCESS,Demographics,PCT_LACCESS_ASIAN19,Percent
"American Indian or Alaska Native, low access to store, 2015",Access and Proximity to Foodstore,ACCESS,Demographics,LACCESS_AIAN15,Count
"American Indian or Alaska Native, low access to store, 2019",Access and Proximity to Foodstore,ACCESS,Demographics,LACCESS_AIAN19,Count
"American Indian or Alaska Native, low access to store (% change), 2015 -19",Access and Proximity to Foodstore,ACCESS,Demographics,PCH_LACCESS_AIAN_15_19,% change
"American Indian or Alaska Native, low access to store (%), 2015",Access and Proximity to Foodstore,ACCESS,Demographics,PCT_LACCESS_AIAN15,Percent
"American Indian or Alaska Native, low access to store (%), 2019",Access and Proximity to Foodstore,ACCESS,Demographics,PCT_LACCESS_AIAN19,Percent
"Hawaiian or Pacific Islander, low access to store, 2015",Access and Proximity to Foodstore,ACCESS,Demographics,LACCESS_HOPI15,Count
"Hawaiian or Pacific Islander, low access to store, 2019",Access and Proximity to Foodstore,ACCESS,Demographics,LACCESS_HOPI19,Count
"Hawaiian or Pacific Islander, low access to store (% change), 2015 -19",Access and Proximity to Foodstore,ACCESS,Demographics,PCH_LACCESS_HOPI_15_19,% change
"Hawaiian or Pacific Islander, low access to store (%), 2015",Access and Proximity to Foodstore,ACCESS,Demographics,PCT_LACCESS_HOPI15,Percent
"Hawaiian or Pacific Islander, low access to store (%), 2019",Access and Proximity to Foodstore,ACCESS,Demographics,PCT_LACCESS_HOPI19,Percent
"Multiracial, low access to store, 2015",Access and Proximity to Foodstore,ACCESS,Demographics,LACCESS_MULTIR15,Count
"Multiracial, low access to store, 2019",Access and Proximity to Foodstore,ACCESS,Demographics,LACCESS_MULTIR19,Count
"Multiracial, low access to store (% change), 2015 -19",Access and Proximity to Foodstore,ACCESS,Demographics,PCH_LACCESS_MULTIR_15_19,% change
"Multiracial, low access to store (%), 2015",Access and Proximity to Foodstore,ACCESS,Demographics,PCT_LACCESS_MULTIR15,Percent
"Multiracial, low access to store (%), 2019",Access and Proximity to Foodstore,ACCESS,Demographics,PCT_LACCESS_MULTIR19,Percent
"Grocery stores, 2016",Store Availability,STORES,Grocery,GROC16,Count
"Grocery stores, 2020",Store Availability,STORES,Grocery,GROC20,Count
"Grocery stores (% change), 2016-20",Store Availability,STORES,Grocery,PCH_GROC_16_20,% change
"Grocery stores/1,000 pop, 2016",Store Availability,STORES,Grocery,GROCPTH16,"# per 1,000 pop"
"Grocery stores/1,000 pop, 2020",Store Availability,STORES,Grocery,GROCPTH20,"# per 1,000 pop"
"Grocery stores/1,000 pop (% change), 2016-20",Store Availability,STORES,Grocery,PCH_GROCPTH_16_20,% change
"Supercenters & club stores, 2016",Store Availability,STORES,Supercenters,SUPERC16,Count
"Supercenters & club stores, 2020",Store Availability,STORES,Supercenters,SUPERC20,Count
"Supercenters & club stores (% change), 2016-20",Store Availability,STORES,Supercenters,PCH_SUPERC_16_20,% change
"Supercenters & club stores/1,000 pop, 2016",Store Availability,STORES,Supercenters,SUPERCPTH16,"# per 1,000 pop"
"Supercenters & club stores/1,000 pop, 2020",Store Availability,STORES,Supercenters,SUPERCPTH20,"# per 1,000 pop"
"Supercenters & club stores/1,000 pop (% change), 2016-20",Store Availability,STORES,Supercenters,PCH_SUPERCPTH_16_20,% change
"Convenience stores, 2016",Store Availability,STORES,Convenience,CONVS16,Count
"Convenience stores, 2020",Store Availability,STORES,Convenience,CONVS20,Count
"Convenience stores (% change), 2016-20",Store Availability,STORES,Convenience,PCH_CONVS_16_20,% change
"Convenience stores/1,000 pop, 2016",Store Availability,STORES,Convenience,CONVSPTH16,"# per 1,000 pop"
"Convenience stores/1,000 pop, 2020",Store Availability,STORES,Convenience,CONVSPTH20,"# per 1,000 pop"
"Convenience stores/1,000 pop (% change), 2016-20",Store Availability,STORES,Convenience,PCH_CONVSPTH_16_20,% change
"Specialized food stores, 2016",Store Availability,STORES,Specialized,SPECS16,Count
"Specialized food stores, 2020",Store Availability,STORES,Specialized,SPECS20,Count
"Specialized food stores (% change), 2016-20",Store Availability,STORES,Specialized,PCH_SPECS_16_20,% change
"Specialized food stores/1,000 pop, 2016",Store Availability,STORES,Specialized,SPECSPTH16,"# per 1,000 pop"
"Specialized food stores/1,000 pop, 2020",Store Availability,STORES,Specialized,SPECSPTH20,"# per 1,000 pop"
"Specialized food stores/1,000 pop (% change), 2016-20",Store Availability,STORES,Specialized,PCH_SPECSPTH_16_20,% change
"Dollar stores, 2020",Store Availability,STORES,Specialized,DS20,Count
"Dollar stores/1,000 pop, 2020",Store Availability,STORES,Specialized,DSPTH20,"# per 1,000 pop"
"SNAP-authorized stores, 2017",Store Availability,STORES,SNAP-authorized,SNAPS17,Count
"SNAP-authorized stores, 2023",Store Availability,STORES,SNAP-authorized,SNAPS23,Count
"SNAP-authorized stores (% change), 2017-23",Store Availability,STORES,SNAP-authorized,PCH_SNAPS_17_23,% change
"SNAP-authorized stores/1,000 pop, 2017",Store Availability,STORES,SNAP-authorized,SNAPSPTH17,"# per 1,000 pop"
"SNAP-authorized stores/1,000 pop, 2023",Store Availability,STORES,SNAP-authorized,SNAPSPTH23,"# per 1,000 pop"
"SNAP-authorized stores/1,000 pop (% change), 2017-23",Store Availability,STORES,SNAP-authorized,PCH_SNAPSPTH_17_23,% change
"WIC-authorized stores, 2016",Store Availability,STORES,WIC-authorized,WICS16,Count
"WIC-authorized stores, 2022",Store Availability,STORES,WIC-authorized,WICS22,Count
"WIC-authorized stores (% change), 2016-22",Store Availability,STORES,WIC-authorized,PCH_WICS_16_22,% change
"WIC-authorized stores/1,000 pop, 2016",Store Availability,STORES,WIC-authorized,WICSPTH16,"# per 1,000 pop"
"WIC-authorized stores/1,000 pop, 2022",Store Availability,STORES,WIC-authorized,WICSPTH22,"# per 1,000 pop"
"WIC-authorized stores/1,000 pop (% change), 2016-22",Store Availability,STORES,WIC-authorized,PCH_WICSPTH_16_22,% change
"Fast-food restaurants, 2016",Restaurant Availability ,RESTAURANTS,Fast-food,FFR16,Count
"Fast-food restaurants, 2020",Restaurant Availability,RESTAURANTS,Fast-food,FFR20,Count
"Fast-food restaurants (% change), 2016-20",Restaurant Availability,RESTAURANTS,Fast-food,PCH_FFR_16_20,% change
"Fast-food restaurants/1,000 pop, 2016",Restaurant Availability,RESTAURANTS,Fast-food,FFRPTH16,"# per 1,000 pop"
"Fast-food restaurants/1,000 pop, 2020",Restaurant Availability,RESTAURANTS,Fast-food,FFRPTH20,"# per 1,000 pop"
"Fast-food restaurants/1,000 pop (% change), 2016-20",Restaurant Availability,RESTAURANTS,Fast-food,PCH_FFRPTH_16_20,% change
"Full-service restaurants, 2016",Restaurant Availability,RESTAURANTS,Full-service,FSR16,Count
"Full-service restaurants, 2020",Restaurant Availability,RESTAURANTS,Full-service,FSR20,Count
"Full-service restaurants (% change), 2016-20",Restaurant Availability,RESTAURANTS,Full-service,PCH_FSR_16_20,% change
"Full-service restaurants/1,000 pop, 2016",Restaurant Availability,RESTAURANTS,Full-service,FSRPTH16,Count
"Full-service restaurants/1,000 pop, 2020",Restaurant Availability,RESTAURANTS,Full-service,FSRPTH20,Count
"Full-service restaurants/1,000 pop (% change), 2016-20",Restaurant Availability,RESTAURANTS,Full-service,PCH_FSRPTH_16_20,% change
"SNAP redemptions/SNAP-authorized stores, 2017",Food Assistance,ASSISTANCE,SNAP,REDEMP_SNAPS17,Dollars/store
"SNAP redemptions/SNAP-authorized stores, 2023",Food Assistance,ASSISTANCE,SNAP,REDEMP_SNAPS23,Dollars/store
"SNAP redemptions/SNAP-authorized stores (% change), 2017-23",Food Assistance,ASSISTANCE,SNAP,PCH_REDEMP_SNAPS_17_23,% change
"SNAP participants (% pop), 2017*",Food Assistance,ASSISTANCE,SNAP,PCT_SNAP17,Percent
"SNAP participants (% pop), 2022*",Food Assistance,ASSISTANCE,SNAP,PCT_SNAP22,Percent
"SNAP participants (change % pop), 2017-22*",Food Assistance,ASSISTANCE,SNAP,PCH_SNAP_17_22,Percentage points
"SNAP benefits per capita, 2017",Food Assistance,ASSISTANCE,SNAP,PC_SNAPBEN17,Dollars/capita
"SNAP benefits per capita, 2022",Food Assistance,ASSISTANCE,SNAP,PC_SNAPBEN22,Dollars/capita
"SNAP benefits per capita (% change), 2017-22",Food Assistance,ASSISTANCE,SNAP,PCH_PC_SNAPBEN_17_22,% change
"SNAP participants (% eligible pop), 2016*",Food Assistance,ASSISTANCE,SNAP,SNAP_PART_RATE16,Percent
"SNAP participants (% eligible pop), 2019*",Food Assistance,ASSISTANCE,SNAP,SNAP_PART_RATE19,Percent
"SNAP online application, 2016*",Food Assistance,ASSISTANCE,SNAP,SNAP_OAPP16,Classification
"SNAP online application, 2020*",Food Assistance,ASSISTANCE,SNAP,SNAP_OAPP20,Classification
"SNAP Combined Application Project , 2016*",Food Assistance,ASSISTANCE,SNAP,SNAP_CAP16,Classification
"SNAP Combined Application Project , 2020*",Food Assistance,ASSISTANCE,SNAP,SNAP_CAP20,Classification
"SNAP Broad-based Categorical Eligibility, 2016*",Food Assistance,ASSISTANCE,SNAP,SNAP_BBCE16,Classification
"SNAP Broad-based Categorical Eligibility, 2020*",Food Assistance,ASSISTANCE,SNAP,SNAP_BBCE20,Classification
"SNAP simplified reporting, 2016*",Food Assistance,ASSISTANCE,SNAP,SNAP_REPORTSIMPLE16,Classification
"SNAP simplified reporting, 2020*",Food Assistance,ASSISTANCE,SNAP,SNAP_REPORTSIMPLE20,Classification
"National School Lunch Program participants (% children), 2017*",Food Assistance,ASSISTANCE,National School Lunch Program,PCT_NSLP17,Percent
"National School Lunch Program participants (% children), 2021*",Food Assistance,ASSISTANCE,National School Lunch Program,PCT_NSLP21,Percent
"National School Lunch Program participants (change % children), 2017-21*",Food Assistance,ASSISTANCE,National School Lunch Program,PCH_NSLP_17_21,Percentage points
"Students eligible for free lunch (%), 2015",Food Assistance,ASSISTANCE,National School Lunch Program,PCT_FREE_LUNCH15,Percent
"Students eligible for reduced-price lunch (%), 2015",Food Assistance,ASSISTANCE,National School Lunch Program,PCT_REDUCED_LUNCH15,Percent
"School Breakfast Program participants (% children), 2017*",Food Assistance,ASSISTANCE,School Breakfast Program,PCT_SBP17,Percent
"School Breakfast Program participants (% children), 2021*",Food Assistance,ASSISTANCE,School Breakfast Program,PCT_SBP21,Percent
"School Breakfast Program participants (change % children), 2017-21*",Food Assistance,ASSISTANCE,School Breakfast Program,PCH_SBP_17_21,Percentage points
"Summer Food Service Program participants (% children), 2017*",Food Assistance,ASSISTANCE,Summer Food Service Program,PCT_SFSP17,Percent
"Summer Food Service Program participants (% children), 2021*",Food Assistance,ASSISTANCE,Summer Food Service Program,PCT_SFSP21,Percent
"Summer Food Service Program participants (change % children), 2017-21*",Food Assistance,ASSISTANCE,Summer Food Service Program,PCH_SFSP_17_21,Percentage points
"WIC redemptions per capita, 2016",Food Assistance,ASSISTANCE,WIC,PC_WIC_REDEMP16,Dollars/capita
"WIC redemptions per capita, 2022",Food Assistance,ASSISTANCE,WIC,PC_WIC_REDEMP22,Dollars/capita
"WIC redemptions per capita (% change), 2016-22",Food Assistance,ASSISTANCE,WIC,PCH_PC_WIC_REDEMP_16_22,% change
"WIC redemptions/WIC-authorized stores, 2016",Food Assistance,ASSISTANCE,WIC,REDEMP_WICS16,Dollars/store
"WIC redemptions/WIC-authorized stores, 2022",Food Assistance,ASSISTANCE,WIC,REDEMP_WICS22,Dollars/store
"WIC redemptions/WIC-authorized stores (% change), 2016-22",Food Assistance,ASSISTANCE,WIC,PCH_REDEMP_WICS_16_22,% change
"WIC participants (% pop), 2017*",Food Assistance,ASSISTANCE,WIC,PCT_WIC17,Percent
"WIC participants (% pop), 2021*",Food Assistance,ASSISTANCE,WIC,PCT_WIC21,Percent
"WIC participants (change % pop), 2017-21*",Food Assistance,ASSISTANCE,WIC,PCH_WIC_17_21,Percentage points
"WIC infant and children participants (% infant & children), 2016*",Food Assistance,ASSISTANCE,WIC,PCT_WICINFANTCHILD16,Percent
"WIC infant and children participants (% infant & children), 2021*",Food Assistance,ASSISTANCE,WIC,PCT_WICINFANTCHILD21,Percent
"WIC infant and children participants (change % infant & children), 2016-21*",Food Assistance,ASSISTANCE,WIC,PCH_WICINFANTCHILD_16_21,Percentage points
"WIC women participants (% women), 2016*",Food Assistance,ASSISTANCE,WIC,PCT_WICWOMEN16,Percent
"WIC women participants (% women), 2021*",Food Assistance,ASSISTANCE,WIC,PCT_WICWOMEN21,Percent
"WIC women participants (change % women), 2016-21*",Food Assistance,ASSISTANCE,WIC,PCH_WICWOMEN_16_21,Percentage points
"Child & Adult Care (% pop), 2017*",Food Assistance,ASSISTANCE,Child & Adult Care,PCT_CACFP17,Percent
"Child & Adult Care (% pop), 2021*",Food Assistance,ASSISTANCE,Child & Adult Care,PCT_CACFP21,Percent
"Child & Adult Care (change % pop), 2012-17*",Food Assistance,ASSISTANCE,Child & Adult Care,PCH_CACFP_17_21,Percentage points
"FDPIR Sites, 2012",Food Assistance,ASSISTANCE,FDPIR,FDPIR12,Count
"FDPIR Sites, 2015",Food Assistance,ASSISTANCE,FDPIR,FDPIR15,Count
"FDPIR Sites, 2012-15",Food Assistance,ASSISTANCE,FDPIR,PCH_FDPIR_12_15,Count
"Food Banks, 2018",Food Assistance,ASSISTANCE,Non-USDA,FOOD_BANKS18,Count
"Food Banks, 2021",Food Assistance,ASSISTANCE,Non-USDA,FOOD_BANKS21,Count
"Food Banks (% change), 2018 - 21",Food Assistance,ASSISTANCE,Non-USDA,PCH_FOOD_BANKS_18_21,% change
"Household food insecurity (%, three-year average), 2018-20*",State Food Insecurity,INSECURITY,State Food Insecurity,FOODINSEC_18_20,Percent
"Household food insecurity (%, three-year average), 2021-23*",State Food Insecurity,INSECURITY,State Food Insecurity,FOODINSEC_21_23,Percent
"Household food insecurity (change %),2018-20 to 2021-23*",State Food Insecurity,INSECURITY,State Food Insecurity,CH_FOODINSEC_20_23,Percentage points
"Household very low food security (%, three-year average), 2018-20*",State Food Insecurity,INSECURITY,State Food Insecurity,VLFOODSEC_18_20,Percent
"Household very low food security (%, three-year average), 2021-23*",State Food Insecurity,INSECURITY,State Food Insecurity,VLFOODSEC_21_23,Percent
"Household very low food security (change %), 2018-20 to 2021-23*",State Food Insecurity,INSECURITY,State Food Insecurity,CH_VLFOODSEC_20_23,Percentage points
"Soda sales tax, retail stores, 2014*",Food Taxes,PRICES_TAXES,Sales Tax,SODATAX_STORES14,Percent
"Soda sales tax, vending, 2014*",Food Taxes,PRICES_TAXES,Sales Tax,SODATAX_VENDM14,Percent
"Chip & pretzel sales tax, retail stores, 2014*",Food Taxes,PRICES_TAXES,Sales Tax,CHIPSTAX_STORES14,Percent
"Chip & pretzel sales tax, vending, 2014*",Food Taxes,PRICES_TAXES,Sales Tax,CHIPSTAX_VENDM14,Percent
"General food sales tax, retail stores, 2014*",Food Taxes,PRICES_TAXES,Sales Tax,FOOD_TAX14,Percent
"Farms with direct sales, 2012",Local Foods,LOCAL,Direct Sales,DIRSALES_FARMS12,Count
"Farms with direct sales, 2017",Local Foods,LOCAL,Direct Sales,DIRSALES_FARMS17,Count
"Farms with direct sales (% change), 2012 - 17",Local Foods,LOCAL,Direct Sales,PCH_DIRSALES_FARMS_12_17,% change
"Farms with direct sales (%), 2012",Local Foods,LOCAL,Direct Sales,PCT_LOCLFARM12,Percent
"Farms with direct sales (%), 2017",Local Foods,LOCAL,Direct Sales,PCT_LOCLFARM17,Percent
"Direct farm sales (%), 2012",Local Foods,LOCAL,Direct Sales,PCT_LOCLSALE12,Percent
"Direct farm sales (%), 2017",Local Foods,LOCAL,Direct Sales,PCT_LOCLSALE17,Percent
"Direct farm sales, 2012",Local Foods,LOCAL,Direct Sales,DIRSALES12,"1,000 dollars"
"Direct farm sales, 2017",Local Foods,LOCAL,Direct Sales,DIRSALES17,"1,000 dollars"
"Direct farm sales (% change), 2012 - 17",Local Foods,LOCAL,Direct Sales,PCH_DIRSALES_12_17,% change
"Direct farm sales per capita, 2012",Local Foods,LOCAL,Direct Sales,PC_DIRSALES12,Dollars
"Direct farm sales per capita, 2017",Local Foods,LOCAL,Direct Sales,PC_DIRSALES17,Dollars
"Direct farm sales per capita (% change), 2012 - 17",Local Foods,LOCAL,Direct Sales,PCH_PC_DIRSALES_12_17,% change
"Farmers' markets, 2013",Local Foods,LOCAL,Farmers' Markets,FMRKT13,Count
"Farmers' markets, 2018",Local Foods,LOCAL,Farmers' Markets,FMRKT18,Count
"Farmers' markets (% change), 2013-18",Local Foods,LOCAL,Farmers' Markets,PCH_FMRKT_13_18,% change
"Farmers' markets/1,000 pop, 2013",Local Foods,LOCAL,Farmers' Markets,FMRKTPTH13,"# per 1,000 pop"
"Farmers' markets/1,000 pop, 2018",Local Foods,LOCAL,Farmers' Markets,FMRKTPTH18,"# per 1,000 pop"
"Farmers' markets/1,000 pop (% change), 2013-18",Local Foods,LOCAL,Farmers' Markets,PCH_FMRKTPTH_13_18,% change
"Farmers' markets that report accepting SNAP, 2018",Local Foods,LOCAL,Farmers' Markets,FMRKT_SNAP18,Count
"Farmers' markets that report accepting SNAP (%), 2018",Local Foods,LOCAL,Farmers' Markets,PCT_FMRKT_SNAP18,Percent
"Farmers' markets that report accepting WIC, 2018",Local Foods,LOCAL,Farmers' Markets,FMRKT_WIC18,Count
"Farmers' markets that report accepting WIC (%), 2018",Local Foods,LOCAL,Farmers' Markets,PCT_FMRKT_WIC18,Percent
"Farmers' markets that report accepting WIC Cash, 2018",Local Foods,LOCAL,Farmers' Markets,FMRKT_WICCASH18,Count
"Farmers' markets that report accepting WIC Cash (%), 2018",Local Foods,LOCAL,Farmers' Markets,PCT_FMRKT_WICCASH18,Percent
"Farmers' markets that report accepting SFMNP, 2018",Local Foods,LOCAL,Farmers' Markets,FMRKT_SFMNP18,Count
"Farmers' markets that report accepting SFMNP (%), 2018",Local Foods,LOCAL,Farmers' Markets,PCT_FMRKT_SFMNP18,Percent
"Farmers' markets that report accepting credit cards, 2018",Local Foods,LOCAL,Farmers' Markets,FMRKT_CREDIT18,Count
"Farmers' markets that report accepting credit cards (%), 2018",Local Foods,LOCAL,Farmers' Markets,PCT_FMRKT_CREDIT18,Percent
"Farmers' markets that report selling fruit & vegetables, 2018",Local Foods,LOCAL,Farmers' Markets,FMRKT_FRVEG18,Count
"Farmers' markets that report selling fruit & vegetables (%), 2018",Local Foods,LOCAL,Farmers' Markets,PCT_FMRKT_FRVEG18,Percent
"Farmers' markets that report selling animal products, 2018",Local Foods,LOCAL,Farmers' Markets,FMRKT_ANMLPROD18,Count
"Farmers' markets that report selling animal products (%), 2018",Local Foods,LOCAL,Farmers' Markets,PCT_FMRKT_ANMLPROD18,Percent
"Farmers' markets that report selling baked/prepared food products, 2018",Local Foods,LOCAL,Farmers' Markets,FMRKT_BAKED18,Count
"Farmers' markets that report selling baked/prepared food products (%), 2018",Local Foods,LOCAL,Farmers' Markets,PCT_FMRKT_BAKED18,Percent
"Farmers' markets that report selling other food products, 2018",Local Foods,LOCAL,Farmers' Markets,FMRKT_OTHERFOOD18,Count
"Farmers' markets that report selling other food products (%), 2018",Local Foods,LOCAL,Farmers' Markets,PCT_FMRKT_OTHERFOOD18,Percent
"Vegetable farms, 2012",Local Foods,LOCAL,Farms & Crop Acreage,VEG_FARMS12,Count
"Vegetable farms, 2017",Local Foods,LOCAL,Farms & Crop Acreage,VEG_FARMS17,Count
"Vegetable farms (% change), 2012 - 17",Local Foods,LOCAL,Farms & Crop Acreage,PCH_VEG_FARMS_12_17,% change
"Vegetable acres harvested, 2012",Local Foods,LOCAL,Farms & Crop Acreage,VEG_ACRES12,Acres
"Vegetable acres harvested, 2017",Local Foods,LOCAL,Farms & Crop Acreage,VEG_ACRES17,Acres
"Vegetable acres harvested (% change), 2012 - 17",Local Foods,LOCAL,Farms & Crop Acreage,PCH_VEG_ACRES_12_17,% change
"Vegetable acres harvested/1,000 pop, 2012",Local Foods,LOCAL,Farms & Crop Acreage,VEG_ACRESPTH12,"Acres/1,000 pop"
"Vegetable acres harvested/1,000 pop, 2017",Local Foods,LOCAL,Farms & Crop Acreage,VEG_ACRESPTH17,"Acres/1,000 pop"
"Vegetable acres harvested/1,000 pop (% change), 2012 - 17",Local Foods,LOCAL,Farms & Crop Acreage,PCH_VEG_ACRESPTH_12_17,% change
"Farms with vegetables harvested for fresh market, 2012",Local Foods,LOCAL,Farms & Crop Acreage,FRESHVEG_FARMS12,Count
"Farms with vegetables harvested for fresh market, 2017",Local Foods,LOCAL,Farms & Crop Acreage,FRESHVEG_FARMS17,Count
"Farms with vegetables harvested for fresh market (% change), 2012 - 17",Local Foods,LOCAL,Farms & Crop Acreage,PCH_FRESHVEG_FARMS_12_17,% change
"Vegetable acres harvested for fresh market, 2012",Local Foods,LOCAL,Farms & Crop Acreage,FRESHVEG_ACRES12,Acres
"Vegetable acres harvested for fresh market, 2017",Local Foods,LOCAL,Farms & Crop Acreage,FRESHVEG_ACRES17,Acres
"Vegetable acres harvested for fresh market (% change), 2012 - 17",Local Foods,LOCAL,Farms & Crop Acreage,PCH_FRESHVEG_ACRES_12_17,% change
"Vegetable acres harvested for fresh market/1,000 pop, 2012",Local Foods,LOCAL,Farms & Crop Acreage,FRESHVEG_ACRESPTH12,"Acres/1,000 pop"
"Vegetable acres harvested for fresh market/1,000 pop, 2017",Local Foods,LOCAL,Farms & Crop Acreage,FRESHVEG_ACRESPTH17,"Acres/1,000 pop"
"Vegetable acres harvested for fresh market/1,000 pop (% change), 2012 - 17",Local Foods,LOCAL,Farms & Crop Acreage,PCH_FRESHVEG_ACRESPTH_12_17,% change
"Orchard farms, 2012",Local Foods,LOCAL,Farms & Crop Acreage,ORCHARD_FARMS12,Count
